batch_size_coded,dropout_flag_coded,bn_flag_coded,max_pool_flag_coded,initialization_coded,cnn_width_coded,conv_dim_list_coded,fc_width_coded,fc_dim_list_coded
-1,-1,-1,-1,-1,1,1,-1,-1
-1,-1,-1,-1,-1,1,1,1,1
-1,-1,-1,-1,1,-1,-1,-1,-1
-1,-1,-1,-1,1,-1,-1,1,1
-1,-1,-1,1,-1,-1,-1,-1,1
-1,-1,-1,1,-1,-1,-1,1,-1
-1,-1,-1,1,1,1,1,-1,1
-1,-1,-1,1,1,1,1,1,-1
-1,-1,1,-1,-1,-1,-1,-1,1
-1,-1,1,-1,-1,-1,-1,1,-1
-1,-1,1,-1,1,1,1,-1,1
-1,-1,1,-1,1,1,1,1,-1
-1,-1,1,1,-1,1,1,-1,-1
-1,-1,1,1,-1,1,1,1,1
-1,-1,1,1,1,-1,-1,-1,-1
-1,-1,1,1,1,-1,-1,1,1
-1,1,-1,-1,-1,-1,1,-1,-1
-1,1,-1,-1,-1,-1,1,1,1
-1,1,-1,-1,1,1,-1,-1,-1
-1,1,-1,-1,1,1,-1,1,1
-1,1,-1,1,-1,1,-1,-1,1
-1,1,-1,1,-1,1,-1,1,-1
-1,1,-1,1,1,-1,1,-1,1
-1,1,-1,1,1,-1,1,1,-1
-1,1,1,-1,-1,1,-1,-1,1
-1,1,1,-1,-1,1,-1,1,-1
-1,1,1,-1,1,-1,1,-1,1
-1,1,1,-1,1,-1,1,1,-1
-1,1,1,1,-1,-1,1,-1,-1
-1,1,1,1,-1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,-1
-1,1,1,1,1,1,-1,1,1
1,-1,-1,-1,-1,1,-1,-1,-1
1,-1,-1,-1,-1,1,-1,1,1
1,-1,-1,-1,1,-1,1,-1,-1
1,-1,-1,-1,1,-1,1,1,1
1,-1,-1,1,-1,-1,1,-1,1
1,-1,-1,1,-1,-1,1,1,-1
1,-1,-1,1,1,1,-1,-1,1
1,-1,-1,1,1,1,-1,1,-1
1,-1,1,-1,-1,-1,1,-1,1
1,-1,1,-1,-1,-1,1,1,-1
1,-1,1,-1,1,1,-1,-1,1
1,-1,1,-1,1,1,-1,1,-1
1,-1,1,1,-1,1,-1,-1,-1
1,-1,1,1,-1,1,-1,1,1
1,-1,1,1,1,-1,1,-1,-1
1,-1,1,1,1,-1,1,1,1
1,1,-1,-1,-1,-1,-1,-1,-1
1,1,-1,-1,-1,-1,-1,1,1
1,1,-1,-1,1,1,1,-1,-1
1,1,-1,-1,1,1,1,1,1
1,1,-1,1,-1,1,1,-1,1
1,1,-1,1,-1,1,1,1,-1
1,1,-1,1,1,-1,-1,-1,1
1,1,-1,1,1,-1,-1,1,-1
1,1,1,-1,-1,1,1,-1,1
1,1,1,-1,-1,1,1,1,-1
1,1,1,-1,1,-1,-1,-1,1
1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,-1,-1,-1,-1,-1
1,1,1,1,-1,-1,-1,1,1
1,1,1,1,1,1,1,-1,-1
1,1,1,1,1,1,1,1,1
0,-1,-1,-1,-1,0,0,0,0
0,-1,-1,-1,1,0,0,0,0
0,-1,-1,1,-1,0,0,0,0
0,-1,-1,1,1,0,0,0,0
0,-1,1,-1,-1,0,0,0,0
0,-1,1,-1,1,0,0,0,0
0,-1,1,1,-1,0,0,0,0
0,-1,1,1,1,0,0,0,0
0,1,-1,-1,-1,0,0,0,0
0,1,-1,-1,1,0,0,0,0
0,1,-1,1,-1,0,0,0,0
0,1,-1,1,1,0,0,0,0
0,1,1,-1,-1,0,0,0,0
0,1,1,-1,1,0,0,0,0
0,1,1,1,-1,0,0,0,0
0,1,1,1,1,0,0,0,0
